Index,Dates 2019 Sverige,,Elpris 2019 SE1,Elpris 2019 SE2,Elpris 2019 SE3,Elpris 2019 SE4,Vindprognos 2019 SE1,Vindprognos 2019 SE2,Vindprognos 2019 SE3,Vindprognos 2019 SE4,Vindprognos 2019 Sverige,Solkraft 2019 SE1,Solkraft 2019 SE2,Solkraft 2019 SE3,Solkraft 2019 SE4,Solkraft 2019 Sverige,Vindkraft 2019 SE1,Vindkraft 2019 SE2,Vindkraft 2019 SE3,Vindkraft 2019 SE4,Vindkraft 2019 Sverige,Kärnkraft 2019 SE3,Kärnkraft 2019 Sverige,Vattenkraft 2019 SE1,Vattenkraft 2019 SE2,Vattenkraft 2019 SE3,Vattenkraft 2019 SE4,Vattenkraft 2019 Sverige,Värmekraft 2019 SE1,Värmekraft 2019 SE2,Värmekraft 2019 SE3,Värmekraft 2019 SE4,Värmekraft 2019 Sverige,Ospec kraft 2019 SE1,Ospec kraft 2019 SE2,Ospec kraft 2019 SE3,Ospec kraft 2019 SE4,Ospec kraft 2019 Sverige,Produktion 2019 SE1,Produktion 2019 SE2,Produktion 2019 SE3,Produktion 2019 SE4,Produktion 2019 Sverige,SE net exchange 2019 Sverige,SE - NO 2019,SE - FI 2019,SE - DK 2019,SE - PL 2019,SE - DE 2019,SE3 - NO1 2019,SE3 - DK1 2019,SE4 - DK2 2019,SE1 - FI 2019,SE3 - FI 2019,SE1 - NO4 2019,SE2 - NO3 2019,SE2 - NO4 2019,SE1 - SE2 2019,SE2 - SE3 2019,SE3 - SE4 2019,SE4 - LT 2019,Konsumption 2019 SE1,Konsumption 2019 SE2,Konsumption 2019 SE3,Konsumption 2019 SE4,Konsumption 2019 Sverige,SE4 > PL,PL > SE4,SE4 > DE,DE > SE4,SE3 > NO1,NO1 > SE3,SE3 > DK1A,DK1A > SE3,SE4 > DK2,DK2 > SE4,SE1 > FI,FI > SE1,SE3 > FI,FI > SE3,SE1 > NO4,NO4 > SE1,SE2 > NO3,NO3 > SE2,SE2 > NO4,NO4 > SE2,SE1 > SE2,SE2 > SE1,SE2 > SE3,SE3 > SE2,SE3 > SE4,SE4 > SE3,SE4 > LT,LT > SE4
01-01-2019:00,01-01-2019:00,,290.08,290.08,290.08,290.08,328,1507,2199,1320,5354,0,0.003,0.104,0.069,0.176,346,1406,2145,1394,5292,8210,8210,355,1339,595,74,2363,33,199,1110,183,1527,0.62,0.03,12.54,32.62,45.81,731,3094,12414,1741,17979,-3359,-2745,-1148,268,165,-75,-1488,177,91,67,-1215,-372,-728,-157,700,361,-314,176,1126,1873,9212,2386,14597,600,600,615,615,689,2120,680,210,1300,482,1485,1115,1200,1200,600,600,1000,600,250,150,3300,3300,6950,7300,5300,2000,700,700
01-01-2019:01,01-01-2019:01,,103.15,103.15,103.15,103.15,329,1330,2227,1350,5236,0,0,0.108,0.072,0.18,339,1256,2134,1405,5135,8208,8208,331,1202,581,59,2172,40,192,1080,182,1493,0.9,0.02,12.66,32.11,45.68,738,2759,12381,1754,17632,-3242,-2488,-1184,401,1,2,-1367,217,184,35,-1219,-337,-645,-139,704,556,-391,26,1140,1830,9057,2348,14375,600,600,615,615,680,2120,680,207,1300,475,1485,1115,1200,1200,600,600,1000,600,250,150,3300,3300,6950,7300,5300,2000,700,700
01-01-2019:02,01-01-2019:02,,102.74,102.74,102.74,102.74,321,1101,2211,1378,5011,0,0.001,0.109,0.071,0.18,341,1085,2061,1407,4894,8205,8205,311,1115,540,60,2025,39,190,1058,178,1464,1.11,0.02,12.59,32.07,45.79,710,2434,12330,1782,17256,-3087,-2534,-1222,676,0,68,-1382,206,470,-3,-1219,-347,-658,-147,768,874,-105,-75,1127,1738,8949,2339,14153,600,600,615,615,706,2120,680,216,1300,495,1485,1115,1200,1200,600,600,1000,600,250,150,3300,3300,6950,7300,5300,2000,700,700
01-01-2019:03,01-01-2019:03,,46.71,46.71,46.71,46.71,338,988,2212,1396,4934,0,0.002,0.107,0.069,0.177,360,943,1999,1414,4716,8204,8204,415,1170,558,61,2204,43,188,1062,172,1465,0.96,0.02,12.8,31.86,45.65,773,2367,12343,1788,17271,-3348,-2514,-1316,646,0,66,-1346,206,440,-97,-1219,-358,-661,-149,739,923,-237,-230,1057,1742,8812,2285,13896,600,600,615,615,722,2120,680,221,1300,508,1485,1115,1200,1200,600,600,1000,600,250,150,3300,3300,6950,7300,5300,2000,700,700
01-01-2019:04,01-01-2019:04,,49.47,49.47,49.47,49.47,345,941,2201,1408,4895,0,0.002,0.102,0.064,0.168,340,859,1972,1421,4592,8203,8203,617,1207,553,66,2443,44,186,1071,176,1477,1.07,0,13,31.9,45.96,992,2362,12329,1805,17488,-3510,-2466,-1563,665,0,66,-1269,224,441,-344,-1219,-348,-692,-157,793,1072,-178,-212,1093,1795,8804,2263,13955,600,600,615,615,757,2120,680,234,1300,537,1485,1115,1200,1200,600,600,1000,600,250,150,3300,3300,6950,7300,5300,2000,700,700
01-01-2019:05,01-01-2019:05,,82.87,82.87,82.87,82.87,336,975,2165,1419,4895,0,0,0.103,0.069,0.173,280,898,1981,1427,4586,8203,8203,656,1229,557,69,2510,45,193,1079,177,1493,1.17,0.02,12.9,31.75,45.84,1018,2410,12303,1816,17548,-3364,-2689,-1721,869,113,66,-1461,251,618,-502,-1219,-335,-732,-161,975,1267,301,-2,1155,1812,8898,2301,14166,600,600,615,615,829,2120,680,259,1300,596,1485,1115,1200,1200,600,600,1000,600,250,150,3300,3300,6950,7300,5300,2000,700,700
01-01-2019:06,01-01-2019:06,,261.6,261.6,261.6,261.6,317,961,2144,1415,4837,0,0.001,0.109,0.074,0.184,340,1011,2001,1433,4784,8204,8204,727,1292,595,81,2695,45,195,1095,182,1516,0.39,0.02,12.43,32.73,45.57,1090,2444,12338,1843,17716,-3359,-2606,-1839,958,63,65,-1444,277,681,-620,-1219,-323,-689,-150,988,1091,255,0,1135,1711,9107,2399,14352,600,600,615,615,897,2120,680,283,1300,651,1485,1115,1200,1200,600,600,1000,600,250,150,3300,3300,6950,7300,5300,2000,700,700
01-01-2019:07,01-01-2019:07,,401.11,401.11,401.11,401.11,345,1044,2084,1428,4901,0,0,0.113,0.07,0.183,357,1099,1886,1423,4766,8204,8204,851,1393,644,92,2980,38,205,1132,181,1556,0.6,0.03,12.29,32.69,45.61,1215,2632,12365,1876,18089,-3271,-2538,-1925,1021,105,66,-1360,314,707,-706,-1219,-356,-677,-145,977,902,236,0,1131,1740,9426,2510,14807,600,600,615,615,982,2120,680,313,1300,719,1485,1115,1200,1200,600,600,1000,600,250,150,3300,3300,6950,7300,5300,2000,700,700
01-01-2019:08,01-01-2019:08,,385.75,385.75,385.75,385.75,410,1183,2010,1428,5031,0,0,0.116,0.088,0.205,444,1193,1846,1408,4891,8200,8200,624,1395,654,100,2773,42,201,1155,180,1578,0.38,0,11.88,33.18,45.44,1033,2797,12325,1887,18042,-2961,-2595,-1450,1032,5,66,-1282,345,687,-231,-1219,-442,-710,-161,757,685,47,-19,1118,1856,9520,2570,15064,600,600,615,615,1074,2120,680,346,1300,794,1485,1115,1200,1200,600,600,1000,600,250,150,3300,3300,6950,7300,5300,2000,700,700
01-01-2019:09,01-01-2019:09,,220.43,220.43,220.43,220.43,466,1253,1930,1426,5075,0,0.004,0.532,0.279,0.815,523,1269,1848,1380,5020,8200,8200,477,1468,649,101,2695,40,201,1174,182,1596,0.09,0.01,11.66,33.01,44.76,1033,2981,12277,1887,18178,-2667,-2904,-1560,1138,306,66,-1395,231,907,-341,-1219,-526,-794,-189,1052,996,795,287,1219,1947,9679,2647,15492,600,600,615,615,1199,2120,680,390,1300,896,1485,1115,1200,1200,600,600,1000,600,250,150,3300,3300,6950,7300,5300,2000,700,700
